,tipo,categoria,pais_origem,pais_destino,ano,kg,valor
351,Vinhos de mesa,,Brasil,Hong Kong,2011,2063.0,7975.0
352,Vinhos de mesa,,Brasil,Hungria,2011,,
353,Vinhos de mesa,,Brasil,Ilha de Man,2011,,
354,Vinhos de mesa,,Brasil,Ilhas Virgens,2011,,
355,Vinhos de mesa,,Brasil,Índia,2011,,
356,Vinhos de mesa,,Brasil,Indonésia,2011,,
357,Vinhos de mesa,,Brasil,Irã,2011,,
358,Vinhos de mesa,,Brasil,Iraque,2011,,
359,Vinhos de mesa,,Brasil,Irlanda,2011,5376.0,35690.0
360,Vinhos de mesa,,Brasil,Itália,2011,11999.0,80298.0
361,Vinhos de mesa,,Brasil,Jamaica,2011,,
362,Vinhos de mesa,,Brasil,Japão,2011,100835.0,144662.0
363,Vinhos de mesa,,Brasil,Jordânia,2011,,
364,Vinhos de mesa,,Brasil,Letônia,2011,,
365,Vinhos de mesa,,Brasil,Líbano,2011,,
366,Vinhos de mesa,,Brasil,Libéria,2011,,
367,Vinhos de mesa,,Brasil,Luxemburgo,2011,9547.0,65592.0
368,Vinhos de mesa,,Brasil,Macau,2011,,
369,Vinhos de mesa,,Brasil,Malásia,2011,,
370,Vinhos de mesa,,Brasil,Malavi,2011,,
371,Vinhos de mesa,,Brasil,Malta,2011,,
372,Vinhos de mesa,,Brasil,"Marshall, Ilhas",2011,,
373,Vinhos de mesa,,Brasil,Martinica,2011,,
374,Vinhos de mesa,,Brasil,Mauritânia,2011,,
375,Vinhos de mesa,,Brasil,México,2011,1350.0,7200.0
376,Vinhos de mesa,,Brasil,Moçambique,2011,,
377,Vinhos de mesa,,Brasil,Montenegro,2011,,
378,Vinhos de mesa,,Brasil,Namíbia,2011,,
379,Vinhos de mesa,,Brasil,Nicarágua,2011,,
380,Vinhos de mesa,,Brasil,Nigéria,2011,54.0,210.0
381,Vinhos de mesa,,Brasil,Noruega,2011,10268.0,78688.0
382,Vinhos de mesa,,Brasil,Nova Caledônia,2011,,
383,Vinhos de mesa,,Brasil,Nova Zelândia,2011,2587.0,7992.0
384,Vinhos de mesa,,Brasil,Omã,2011,,
385,Vinhos de mesa,,Brasil,Países Baixos,2011,125414.0,395356.0
